ZHD,Woreda/ZHD/RHB,periodname,Denom - Estimated number of 0-2 months with sepsis/VSD,Denom - Estimated number of 12 - 24 months children,Denom - Estimated number of <15 year children 1,Denom - Estimated number of <5 year children,Denom - Estimated number of HIV positive pregnant women,Denom - Estimated number of Leprosy cases,Denom - Estimated number of Non-pregnant women aged 15-49 year,Denom - Estimated number of STI cases,Denom - Estimated number of adult population living with HIV ,Denom - Estimated number of adults  in the catchment area,Denom - Estimated number of adults age 15-24 within the catchment area,Denom - Estimated number of adults age 15-59 within the catchment area,Denom - Estimated number of all forms of TB cases in the population,Denom - Estimated number of child population living with HIV ,Denom - Estimated number of children  aged 24 - 59 months ,Denom - Estimated number of children aged 6-59 months,Denom - Estimated number of diabetic cases,Denom - Estimated number of girls (14 years old),Denom - Estimated number of girls (9 years old),Denom - Estimated number of hypertensive cases,Denom - Estimated number of live birth,Denom - Estimated number of neonates with birth asphyxia case,Denom - Estimated number of networked in 1 to 5 ,Denom - Estimated number of patients with CVD risk  ≥ 30%,Denom - Estimated number of people living with HIV ,Denom - Estimated number of people tested for HCT,Denom - Estimated number of pregnant women,Denom - Estimated number of surviving infants,Denom - Estimated number of under 2 yrs children,Denom - Estimated number of under 5 children with diarrhea cases,Denom - Estimated number of under 5 children with pneumonia,Denom - Estimated number of women age 30-49 within the catchment area,Denom - Expected number of deliveries,Denom - Total catchment population - female,Denom - Total catchment population - male,Denom - Total number of HHs in the catchment,Denom - Total number of Oncocerciasis MDA eligible population ,Denom - Total number of Rural HHs,Denom - Total number of Schistosomiasis MDA eligible population,Denom - Total number of Urban HHs,Denom - Total number of Urban kebele,Denom - Total number of catchment population,Denom - Total number of kebele,Denom - Total number of lymphatic filariasis MDA eligible population ,Denom - Total number of rural kebele,Denom - Total number of trachoma MDA eligible population 
North Gojjam ZHD,Debub Mecha WorHO,Ham 2012 to Sen 2013,224.7,1698.1,37396,11880,26.6,2.8,17744.5,1684.1,,,18151.5,45106,132.4,,7451,11297.5,2806.8,1082.4,,8050.8,2956,4.1,20398.5,,,,2956,2731.4,4429,11879.9,3207.6,16841,2956,,,20398.5,75837.3,17134.8,25437,3263.8,5,87713.7,21.2,75837.3,16.2,87713.7
North Gojjam ZHD,Debub Mecha WorHO,Ham 2013 to Sen 2014,226,1711.8,37614.5,11950.5,21.7,2.8,17849.9,1694.1,742.9,48891.2,19287.5,45773,123.5,56.4,7495.2,11364.6,1662.3,1085.3,,7627,2973.5,123.5,20398.5,,,,2973.5,2747.6,4455.9,11950.5,3226.6,9705.8,2973.5,45132.1,43102.7,20519.7,0,20519.7,25588.1,0,4,88234.8,17,0,13,88234.8
North Gojjam ZHD,Debub Mecha WorHO,Ham 2014 to Sen 2015,227.5,1705.5,37871.5,12031,24.2,2.7,17970.1,1705.5,,53540.6,18151.5,48063.4,115.5,,7545.7,11441.2,53540.6,1092.6,6040.4,53540.6,2993.5,299.4,20398.5,,,,2993.5,2766,4485.9,12169.6,3285.8,9771.2,2993.5,44561,44267.9,20657.9,0,20657.9,99.4,0,4,88828.9,17,0,13,342.6
West Gojjam ZHD,Dega Damot WorHO,Ham 2010 to Sen 2011,471.9,3574.2,78540.7,24945.8,55.9,11.1,37271.3,3537.4,,105690,38126.2,94742.5,302.2,,15641.8,23729.9,,2266.1,,,6098.3,60.8,,,,,6208.8,5729.8,9304,24945.8,6735.4,21032.6,6208.8,93961,90277,42846,159292.2,35990.7,53429,6855.4,2.5,184238,42.4,158444.7,39.9,184238
West Gojjam ZHD,Dega Damot WorHO,Ham 2011 to Sen 2012,479,5737,79801,25351,56.8,11,37866,3594,,107375,38734,96253,307,,15900,24108,,2302,,,6308,61.8,,,,,6308,5821.2,9451,25351,6845,21368,6308,95460,91716,43529,161832.4,35990.7,54281,6855.4,2.5,187176,42.4,158444.7,39.9,187176
West Gojjam ZHD,Dega Damot WorHO,Ham 2012 to Sen 2013,464.4,3510.4,77306.3,24558.7,55,5.8,36682,3481.4,,,37523.5,93244.6,273.8,,15402.9,23354.6,5802.4,2237.6,,16642.9,6110.6,8.6,42168.5,,,,6110.6,5646.5,9155.8,24558.6,6630.8,34814.3,6110.6,,,42168.5,156773.3,35421.6,52584.2,6747,2.5,181324.7,42.4,156773.3,39.9,181324.7
West Gojjam ZHD,Dega Damot WorHO,Ham 2013 to Sen 2014,469.5,3556.2,78144.1,24827.2,45.1,5.9,37083.1,3519.5,1543.5,110644.7,44371.3,101383.6,256.6,104.2,15571.3,23610,3761.9,2254.7,,17260.6,6177.5,256.6,42168.5,,,,6177.5,5708.2,9257,24827.2,6703.3,20163.8,6177.5,94845.5,88462.2,42629.7,0,37766.8,53159.2,4862.9,2,183307.7,34,0,32,183307.7
West Gojjam ZHD,Dega Damot WorHO,Ham 2014 to Sen 2015,474.7,3558.8,79024.6,25104.5,50.6,5.6,37497.3,3558.8,,111720.6,37523.5,100291.5,241,,15745.2,23873.7,111720.6,2279.9,12604.1,111720.6,6246.5,624.6,42168.5,,,,6246.5,5771.7,9360.4,25393.6,6856.3,20389,6246.5,92983.2,92371.7,43105.8,0,38188.6,430.7,4917.2,2,185354.8,34,0,32,1485.2
Waghimera ZHD,Dehana WorHO,Ham 2010 to Sen 2011,361.8,2740.3,60216.2,19125.7,42.8,8.5,28575.5,2712.1,,81031,29230.9,72637.9,231.7,,11992.4,18193.4,,1737.4,,,4675.5,46.7,,,,,4760.2,4393,7133.3,19125.7,5163.9,16125.4,4760.2,72039,69214,32849.5,122127.3,27593.6,40963.4,5255.9,1.2,141253,38.6,121477.6,37.4,141253
Waghimera ZHD,Dehana WorHO,Ham 2011 to Sen 2012,368,4398,61182,19436,43.5,9,29031,2755,,82323,29697,73796,235,,12190,18483,,1765,,,4836,47.4,,,,,4836,4463,7246,19436,5248,16383,4836,73188,70317,33373,124074.4,27593.6,41616.5,5255.9,1.2,143505,38.6,121477.6,37.4,143505
Waghimera ZHD,Dehana WorHO,Ham 2012 to Sen 2013,360.7,2726.2,60036,19072.3,42.7,4.5,28487.2,2703.7,,,29140.7,72413.7,212.6,,11961.8,18137.2,4506.1,1737.7,,12924.9,4745.5,6.6,32748,,,,4745.5,4385,7110.4,19072.2,5149.5,27036.8,4745.5,,,32748,121750,27508.3,40836.8,5239.7,1.2,140816.5,38.6,121750,37.4,140816.5
Waghimera ZHD,Dehana WorHO,Ham 2013 to Sen 2014,363.8,2755.7,60553.7,19238.6,34.9,4.5,28735.7,2727.3,1196,79064,28225.5,70423.7,198.9,90.3,12066.2,18295.4,2688.2,1747.2,,12334,4786.9,198.9,32748,,,,4786.9,4423.3,7173.3,19238.6,5194.4,15624.9,4786.9,72665.8,69379.1,33033.7,0,30930.6,41193,2103.1,1,142044.8,31,0,30,142044.8
Waghimera ZHD,Dehana WorHO,Ham 2014 to Sen 2015,367.2,2752.4,61117.3,19415.8,39.1,4.3,29000.3,2752.4,,86404.3,29140.7,77565.1,186.4,,12177.3,18463.8,86404.3,1763.2,9748,86404.3,4831,483.1,32748,,,,4831,4463.8,7239.3,19639.3,5302.6,15768.8,4831,71912.9,71439.9,33337.9,0,31215.4,258.1,2122.4,1,143352.8,31,0,30,890.1
East Gojjam ZHD,Dejen WorHO,Ham 2010 to Sen 2011,322.5,2443,53683.5,17050.8,38.2,7.6,25475.4,2417.8,,72240,26059.7,64757.7,206.5,,10691.4,16219.7,,1548.9,,,4168.2,41.6,,,,,4243.8,3916.4,6359.4,17050.8,4603.7,14376.1,4243.8,64224,61705,29285.8,108878.2,24600.1,36519.4,4685.7,3.7,125929,29.9,108298.9,26.2,125929
East Gojjam ZHD,Dejen WorHO,Ham 2011 to Sen 2012,328,3921,54545,17328,38.8,8,25882,2456,,73392,26475,65790,210,,10868,16478,,1574,,,4311,42.3,,,,,4311,3978.8,6460,17328,4679,14606,4311,65248,62689,29753,110614.3,24600.1,37101.7,4685.7,3.7,127937,29.9,108298.9,26.2,127937
East Gojjam ZHD,Dejen WorHO,Ham 2012 to Sen 2013,329.8,2493.3,54906.1,17442.6,39.1,4.1,26053.1,2472.7,,,26650.7,66226.2,180.3,,10939.7,16587.4,4121.1,1589.2,,11820.5,4340,217,5990,,,,4340,4010.3,6502.9,17442.5,4709.5,12105.7,4340,,,29949.8,111346.9,25157.9,37347.4,4792,3.7,128784.3,29.9,111346.9,26.2,128784.3
East Gojjam ZHD,Dejen WorHO,Ham 2013 to Sen 2014,334.3,2532.5,55649.7,17680.5,32.1,4.2,26408.5,2506.4,1099.2,83588.1,29432.2,74718.4,182.8,67.3,11089,16813.7,2842,1605.7,,13039.7,4399.2,182.8,29949.8,,,,4399.2,4065.1,6592.3,17680.5,4773.7,14359.5,4399.2,68153,62388.2,30358.4,0,25033.7,37857,5324.7,3,130541.2,24,0,21,130541.2
East Gojjam ZHD,Dejen WorHO,Ham 2014 to Sen 2015,396.1,2969.4,65935.7,20946.5,42.2,4.6,31286.6,2969.4,,93216.3,26650.7,83680.2,201.1,,13137.3,19919.5,93216.3,1902.2,10516.5,93216.3,5211.9,521.2,29949.8,,,,5211.9,4815.8,7810,21187.7,5720.7,17012,5211.9,27125.7,77072.1,35966.1,0,29657.8,255.9,6308.3,3,154654.4,24,0,21,882.5
South Wollo ZHD,Delanta WorHO,Ham 2010 to Sen 2011,384.6,2913.1,64013.6,20331.8,45.5,9,30377.6,2883.1,,86141,31074.3,77218.8,246.3,,12748.7,19340.7,,1847,,,4970.3,49.6,,,,,5060.4,4670,7583.1,20331.8,5489.6,17142.4,5060.4,76582,73579,34921.2,129829.2,29333.8,43546.7,5587.4,2.5,150161,41.1,129138.5,38.6,150161
South Wollo ZHD,Delanta WorHO,Ham 2011 to Sen 2012,391,4676,65041,20662,57.2,9,30862,2929,,87514,31570,78450,250,,12959,19649,,1876,,,5141,62.3,,,,,5141,5866,7703,20662,5579,17416,5141,77803,74752,35478,163099,29333.8,54705.9,5587.4,2.5,188641,41.1,129138.5,38.6,188641
South Wollo ZHD,Delanta WorHO,Ham 2012 to Sen 2013,347.8,2629.1,57896.6,18392.6,41.2,4.3,27472,2607.3,,,28102.2,69833.1,205.1,,11535.6,17490.8,4345.5,1675.8,,12464.3,4576.4,6.4,31581,,,,4576.4,4228.8,6857,18392.5,4966,26073.3,4576.4,,,31581,117411.3,26528.1,39381.5,5053,2.5,135798.4,41.1,117411.3,38.6,135798.4
South Wollo ZHD,Delanta WorHO,Ham 2013 to Sen 2014,351.4,2661.5,58484.5,18581.1,33.8,4.4,27753.7,2634.1,1155.1,82021.4,28481.4,71688.7,192.1,79.1,11653.9,17670.2,2788.7,1687.4,,12795.3,4623.3,192.1,31581,,,,4623.3,4272.1,6928.1,18581.1,5016.9,15091,4623.3,67865.5,69325.4,31904.9,0,28760.5,39785.4,3144.4,2,137190.9,33,0,31,137190.9
South Wollo ZHD,Delanta WorHO,Ham 2014 to Sen 2015,355.1,2661.9,59108.2,18777.5,37.8,4.2,28046.9,2661.9,,83563.9,28102.2,75015.2,180.2,,11777,17856.9,83563.9,1705.3,9427.5,83563.9,4672.2,467.2,31581,,,,4672.2,4317.1,7001.3,18993.7,5128.3,15250.4,4672.2,69548.8,69091.4,32241.9,0,29064.3,241.1,3177.6,2,138640.2,33,0,31,831.4
West Gojjam ZHD,Dembecha WorHO,Ham 2010 to Sen 2011,414.7,3141.2,69025.6,21923.7,49.1,9.7,32756,3108.8,,92885,33507.3,83264.7,265.5,,13746.8,20855,,1991.6,,,5359.5,53.5,,,,,5456.6,5035.6,8176.9,21923.7,5919.4,18484.6,5456.6,82578,79340,37655.3,139994.3,31630.5,46956.2,6024.9,5,161918,43.6,139249.5,38.6,161918
West Gojjam ZHD,Dembecha WorHO,Ham 2011 to Sen 2012,421,5042,70133,22280,49.9,10,33278,3158,,94366,34042,84592,270,,13974,21188,,2023,,,5544,54.3,,,,,5544,5116,8306,22280,6016,18780,5544,83895,80605,38256,142226.7,31630.5,47705,6024.9,5,164500,43.6,139249.5,38.6,164500
West Gojjam ZHD,Dembecha WorHO,Ham 2012 to Sen 2013,442.9,3348.1,73731.2,23423,52.5,5.5,34985.6,3320.4,,,35788.2,88932.5,261.1,,14690.5,22274.6,5534.1,2134.1,,15873.3,5828.1,8.2,40218.4,,,,5828.1,5385.3,8732.4,23422.9,6324.2,33204.3,5828.1,,,40218.4,149523.3,33783.5,50152.4,6434.9,5,172939.3,43.6,149523.3,38.6,172939.3
West Gojjam ZHD,Dembecha WorHO,Ham 2013 to Sen 2014,449.5,3405.1,74824.4,23772.5,43.2,5.6,35507.8,3370,1477.9,103689.4,38027.6,95475.4,245.7,103,14909.8,22607,3525.4,2158.9,,16175.5,5915,245.7,40218.4,,,,5915,5465.7,8863.8,23772.5,6418.6,19307.3,5915,90202.3,85318.2,40818.7,0,32476.9,50900.9,8341.8,4,175520.5,35,0,31,175520.5
West Gojjam ZHD,Dembecha WorHO,Ham 2014 to Sen 2015,456.1,3419.5,75930.1,24121.5,48.6,5.3,36029,3419.5,,107345.8,35788.2,96364.3,231.5,,15128.7,22938.9,107345.8,2190.6,12110.6,107345.8,6001.9,600.2,40218.4,,,,6001.9,5545.7,8993.9,24399.2,6587.8,19590.6,6001.9,89342.1,88754.6,41417.8,0,32953.6,396.3,8464.2,4,178096.7,35,0,31,1366.4
South Gondar ZHD,Dera WorHO,Ham 2010 to Sen 2011,765.3,5796.8,127381.1,40458.4,90.6,17.9,60448.5,5737.1,,171413,61835,153658.1,490,,25368.7,38486.2,,3675.3,,,9890.5,98.7,,,,,10069.8,9292.9,15089.7,40458.4,10923.8,34111.7,10069.8,152391,146415,69489.8,258347.9,58371.5,86653.8,11118.4,3.7,298806.3,48.6,256973.4,44.9,298806.3
South Gondar ZHD,Dera WorHO,Ham 2011 to Sen 2012,778,9304,129425,41116,92.1,18,61412,5829,,174146,62821,156108,498,,25787,39100,,3734,,,10230,100.3,,,,,10230,9441.1,15329,41116,11101,34656,10230,154821,148750,70598,262467.5,58371.5,88035.6,11118.4,3.7,303571,48.6,256973.4,44.9,303571
South Gondar ZHD,Dera WorHO,Ham 2012 to Sen 2013,770.9,5826.8,128317.4,40763.9,91.3,9.6,60886.8,5778.7,,,62283.5,154772.7,421.4,,25566.5,38765.3,9631.1,3714.1,,27624.9,10142.8,14.2,69993.7,,,,10142.8,9372.3,15197.4,40763.8,11006.2,57786.8,10142.8,,,69993.7,260221.2,58794.7,87282.2,11199,3.7,300973,48.6,260221.2,44.9,300973
South Gondar ZHD,Dera WorHO,Ham 2013 to Sen 2014,779.1,5901.6,129682.1,41201.4,74.8,9.7,61540.4,5840.7,2561.4,178677.8,63682.7,160168.9,425.9,180,25841,39181.5,6075,3741.7,,27873.7,10251.7,425.9,69993.7,,,,10251.7,9472.9,15362.3,41201.4,11124.4,33462.4,10251.7,153143.5,151060.3,70745.1,0,62998.9,88219.1,7746.2,3,304203.8,39,0,36,304203.8
South Gondar ZHD,Dera WorHO,Ham 2014 to Sen 2015,787.7,5904.9,131120.2,41654.3,84,9.2,62216.7,5904.9,,185370.6,62283.5,166407,399.8,,26125,39612,185370.6,3782.8,20913.2,185370.6,10364.3,1036.4,69993.7,,,,10364.3,9576.6,15531.1,42133.9,11376.2,33830.2,10364.3,154280.8,153266.2,71522.5,0,63691.2,1186,7831.3,3,307547,39,0,36,4089.6
Dessie THO,Dessie THO,Ham 2010 to Sen 2011,572.8,4338.6,95337.3,30280.7,67.8,13.4,45242.2,4293.9,,128292,46279.9,115004.1,366.8,,18987,28804.7,,2750.8,,,7402.5,73.9,,,,,7536.6,6955.2,11293.8,30280.7,8175.8,25530.6,7536.6,114056,109583,52009.1,193358.3,43687.6,64855.3,8321.5,22.4,223639,32.4,192329.5,10,223639
Dessie THO,Dessie THO,Ham 2011 to Sen 2012,582,6964,96867,30773,68.9,14,45963,4362,,130338,47018,116838,373,,19300,29264,,2795,,,7657,75,,,,,7657,7066,11472,30773,8309,25938,7657,115874,111330,52838,196440.6,43687.6,65889.2,8321.5,22.4,227204,32.4,192329.5,10,227204
Dessie THO,Dessie THO,Ham 2012 to Sen 2013,700,5291.2,116521.4,37016.6,82.9,8.7,55289.6,5247.5,,,56557.9,140544.8,412.7,,23216.3,35201.7,8745.8,3372.6,,25085.4,9210.4,12.9,63559.3,,,,9210.4,8510.7,13800.3,37016.5,9994.4,52474.6,9210.4,,,63559.3,236299.6,53389.8,79258.5,10169.5,22.4,273305.2,32.4,236299.6,10,273305.2
Dessie THO,Dessie THO,Ham 2013 to Sen 2014,731.3,5539.3,121721.6,38672.2,70.2,9.1,57762.8,5482.2,2404.2,206829.7,74262.9,180873.5,399.7,112.9,24254.7,36776.3,7032.2,3512,,32265.4,9622.4,399.7,63559.3,,,,9622.4,8891.4,14419.3,38672.2,10441.5,31408.3,9622.4,152283.4,133246.9,66402.4,0,9489.8,82803.8,56912.6,18,285530.3,26,0,8,285530.3
Dessie THO,Dessie THO,Ham 2014 to Sen 2015,760.6,5701.8,126609.2,40221.3,81.1,8.9,60076.3,5701.8,,178993.2,56557.9,160682,386.1,,25226.2,38249.3,178993.2,3652.7,20193.7,178993.2,10007.8,1000.8,63559.3,,,,10007.8,9247.2,14996.8,40684.4,10984.8,32666.3,10007.8,148973,147993.3,69061.9,0,17954.5,1074.9,51107.4,18,296966.3,26,0,8,3706.5
South Wollo ZHD,Dessie Zuriya WorHO,Ham 2010 to Sen 2011,475.6,3602.2,79155.4,25141.1,56.3,11.1,37563.1,3565.1,,106517,38424.6,95484.1,304.5,,15764.2,23915.6,,2283.9,,,6146,61.3,,,,,6257.4,5774.6,9376.8,25141.1,6788.1,21197.2,6257.4,94697,90983,43181.4,160538.9,36272.4,53847.2,6909,1.2,185680,41.1,159684.8,39.9,185680
South Wollo ZHD,Dessie Zuriya WorHO,Ham 2011 to Sen 2012,483,5782,80425,25550,46.3,11,38162,3622,,108215,39037,97007,309,,16024,24297,,2320,,,6357,50.4,,,,,6357,4744.5,9525,25550,6898,21536,6357,96207,92434,43870,131899.1,36272.4,44241,6909,1.2,188641,41.1,159684.8,39.9,152555
South Wollo ZHD,Dessie Zuriya WorHO,Ham 2012 to Sen 2013,467.4,3533.3,77808.8,24718.3,55.4,5.8,36920.4,3504.1,,,37767.4,93850.7,275.6,,15503,23506.4,5840.1,2252.1,,16751.1,6150.4,8.6,42442.6,,,,6150.4,5683.2,9215.4,24718.3,6673.9,35040.6,6150.4,,,42442.6,157792.4,35651.8,52926,6790.8,1.2,182503.4,41.1,157792.4,39.9,182503.4
South Wollo ZHD,Dessie Zuriya WorHO,Ham 2013 to Sen 2014,470.2,3561.6,78263.4,24865.1,45.2,5.9,37139.8,3524.9,1545.8,111238.3,35676.5,94090.8,257,103.7,15595.1,23646.1,3782.1,2258.1,,17353.2,6186.9,257,42442.6,,,,6186.9,5716.9,9271.2,24865.1,6713.6,20194.6,6186.9,89182.5,94405.1,42694.8,0,42694.8,53240.4,0,1,183587.5,33,0,32,183587.5
South Wollo ZHD,Dessie Zuriya WorHO,Ham 2014 to Sen 2015,473.4,3548.6,78798.1,25032.6,50.5,5.5,37389.8,3548.6,,111400.4,37767.4,100004.1,240.3,,15700.1,23805.3,111400.4,2273.3,12568,111400.4,6228.6,622.9,42442.6,,,,6228.6,5755.2,9333.6,25320.8,6836.6,20330.6,6228.6,92716.7,92107,42982.2,0,42982.2,430.1,0,1,184823.7,33,0,32,1483.2
Central Gondar ZHD,East Belesa WorHO,Ham 2010 to Sen 2011,365.1,2765.3,60765.7,19300.2,43.2,8.6,28836.2,2736.8,,,29497.6,73300.8,233.8,,12101.8,18359.4,,1753.3,,,4718.1,47.1,,,,,4803.7,4433.1,7198.4,19300.2,5211.1,16272.6,4803.7,,,33149.3,123241.8,27845.4,41337.2,5303.9,5,142542,37.4,122586.1,32.4,142542
Central Gondar ZHD,East Belesa WorHO,Ham 2011 to Sen 2012,371,0,61741,19614,43.9,9,29296,2780,,83074,29968,74470,237,,12301,18652,,1781,,,4880,47.8,,,,,4880,4503.7,7312,19614,5296,16532,4880,73856,70959,33678,125207,27845.4,41996.4,5303.9,5,144815,37.4,122586.1,32.4,144815
Central Gondar ZHD,East Belesa WorHO,Ham 2012 to Sen 2013,375.5,2838.2,62501.4,19855.5,44.5,4.7,29657,2814.7,,,30337.4,75387.4,221.4,,12453.1,18882,4691.2,1809.1,,13455.7,4940.4,6.9,34092.9,,,,4940.4,4565.1,7402.4,19855.4,5361,28147.1,4940.4,,,34092.9,126749.8,28638,42513.8,5454.9,5,146599.3,37.4,126749.8,32.4,146599.3
Central Gondar ZHD,East Belesa WorHO,Ham 2013 to Sen 2014,381,2885.9,63415.4,20147.8,36.6,4.8,30093.7,2856.1,1252.5,82579.4,31271.8,76045,208.3,94.9,12636.4,19160,2807.7,1829.7,,12882.4,5013.1,208.3,34092.9,,,,5013.1,4632.3,7512.3,20147.8,5439.9,16363.4,5013.1,73025.7,75732.1,34594.8,0,27682.8,43139.8,6912,4,148757.8,30,0,26,148757.8
Central Gondar ZHD,East Belesa WorHO,Ham 2014 to Sen 2015,386.5,2897.6,64341.3,20440,41.2,4.5,30530.1,2897.6,,90962.2,30337.4,81656.7,196.2,,12819.7,19437.8,90962.2,1856.3,10262.2,90962.2,5085.8,508.6,34092.9,,,,5085.8,4699.3,7621.2,20675.3,5582.3,16600.6,5085.8,75706.3,75208.5,35096.5,0,28784.9,284.6,6311.6,4,150914.8,30,0,26,981.3
Central Gondar ZHD,East Dembia WorHO,Ham 2010 to Sen 2011,527.4,3994.6,87777.3,27879.5,62.5,12.4,41654.6,3953.4,,,42610,105884.6,337.7,,17481.3,26520.6,,2532.6,,,6815.5,68,,,,,6939,6403.6,10398.2,27879.5,7527.5,23506.1,6939,,,47884.9,178025.5,40223.3,59712.5,7661.6,5,205905,42.4,177078.3,37.4,205905
Central Gondar ZHD,East Dembia WorHO,Ham 2011 to Sen 2012,540,0,89856,28546,63.9,13,42637,4047,,120905,43615,108382,346,,17903,27146,,2592,,,7103,69.6,,,,,7103,6554.7,10642,28546,7707,24061,7103,107488,103273,49014,182224,40223.3,61120.7,7661.6,5,210761,42.4,177078.3,37.4,210761
Central Gondar ZHD,East Dembia WorHO,Ham 2012 to Sen 2013,542.4,4100.3,90295,28685,64.2,6.8,42845.2,4066.4,,,43828,108911.2,319.8,,17990.8,27278.6,6777.3,2613.5,,19439.2,7137.3,10,49253.5,,,,7137.3,6595.1,10694.2,28684.9,7744.9,40663.7,7137.3,,,49253.5,183113.8,41373,61419.1,7880.6,5,211790.2,42.4,183113.8,37.4,211790.2
Central Gondar ZHD,East Dembia WorHO,Ham 2013 to Sen 2014,549,4158.4,91377.4,29031.6,52.7,6.9,43363,4115.5,1804.8,127062.2,48747.6,114651.8,300.1,125.2,18208.2,27608.3,4320.1,2636.5,,19821.7,7223.6,300.1,49253.5,,,,7223.6,6674.9,10824.7,29031.6,7838.5,23578.5,7223.6,107816.9,106533.2,49848.9,0,42860.6,62161.5,6988.3,4,214350.1,34,0,30,214350.1
Central Gondar ZHD,East Dembia WorHO,Ham 2014 to Sen 2015,555.7,4165.7,92499.8,29385.4,59.2,6.5,43891.3,4165.7,,130771.2,43828,117393.2,282,,18430.1,27944.6,130771.2,2668.6,14753.4,130771.2,7311.6,731.2,49253.5,,,,7311.6,6755.9,10956.6,29723.7,8025.4,23865.8,7311.6,108838.6,108122.8,50456.2,0,45536,589.5,4920.1,4,216961.5,34,0,30,2032.9
East Gojjam ZHD,East Gojjam ZHD,Ham 2010 to Sen 2011,6854.9,51923,1140968.1,362390.5,811.8,160.6,541444.6,51387.7,,1535364,553863.3,1376334.6,4389.4,,227230.1,344726,,32920.3,,,88590.3,883.9,,,,,90196.2,83237.4,135160.4,362390.5,97845.4,305542.8,90196.2,1364986,1311458,622428.8,2314053.5,522840.2,776168.8,99588.6,97.2,2676444,598.4,2301741.8,501.1,2676444
East Gojjam ZHD,East Gojjam ZHD,Ham 2011 to Sen 2012,6964,83341,1159274,368279,824.7,163,550078,52207,,1559844,562696,1398282,4459,,230979,350222,,33445,,,91634,898,,,,,91634,84564.6,137300,368279,99435,310421,91634,1386750,1332368,632353,2350949.4,522840.2,788544.2,99588.6,97.2,2719118,598,2301741.8,500.9,2719118
East Gojjam ZHD,East Gojjam ZHD,Ham 2012 to Sen 2013,7019.3,53058.5,1168443,371191.5,831.2,87.7,554428.3,52620,,,567146.6,1409341.8,3836.9,,232805.9,352992.4,87700,33819.7,,251549,92359,4618,127470.9,,,,92359,85343,138385.6,371190.2,100221.3,257618.7,92359,,,637354.5,2369544,535377.8,794781.1,101976.7,78,2740624.5,480,2369544,402,2740624.5
East Gojjam ZHD,East Gojjam ZHD,Ham 2013 to Sen 2014,7117.6,53912.8,1184693.2,376389.5,683.7,88.9,562194.3,53357,23399.3,1692381.6,648919.5,1529578,3890.6,1558.2,236066.8,357936.9,57541,34181.9,,264011.5,93652.7,3890.6,637354.5,,,,93652.7,86538.5,140340.1,376389.5,101625.2,305691.4,93652.7,1423074.9,1355938,646282.1,0,527601.3,805913.7,118680.7,78,2779012.8,480,0,402,2779012.8
East Gojjam ZHD,East Gojjam ZHD,Ham 2014 to Sen 2015,6740.1,50527.4,1121976.6,356429.9,718.4,78.9,532379.8,50527.4,,1586189.2,567146.6,1423920.9,3421.1,,223547.6,338954.6,1586189.2,32369.1,178951.2,1586189.2,88686.1,8868.6,637354.5,,,,88686.1,81946,132897.6,360534,97344.2,289479.9,88686.1,1320158.7,1311476.5,612008.2,0,499621.4,92707.6,112386.8,78,2631635.2,480,0,402,319681.3
South Gondar ZHD,Ebinat,Ham 2010 to Sen 2011,514.1,3894.5,85577.6,27180.9,60.9,12,40610.7,3854.3,,154778,41542.2,103231.1,329.2,,17043.3,25856,,2469.2,,,6644.7,66.3,,,,,6765.1,6243.2,10137.6,27180.9,7338.8,22917,6765.1,137603,132206,46684.9,173564.1,39215.3,58216.1,7469.6,2.5,200745,38.6,172640.7,36.2,200745
South Gondar ZHD,Ebinat,Ham 2011 to Sen 2012,551,8402,91797,29162,65.3,13,43558,4134,,123517,44557,110723,353,,18290,27732,,2648,,,7256,71.1,,,,,7256,6696.3,10872,29162,7874,24581,7256,139797,105504,50073,186160.5,39215.3,62441.1,7469.6,2.5,215314,38.6,172640.7,36.1,215314
South Gondar ZHD,Ebinat,Ham 2012 to Sen 2013,535.8,4049.8,89183.1,28331.7,63.4,6.7,42317.6,4016.3,,,43288.3,107570.1,292.9,,17769.2,26942.7,6693.8,2581.3,,19199.8,7049.4,9.9,48647,,,,7049.4,6513.9,10562.5,28331.6,7649.5,40163,7049.4,,,48647,180858.9,40863.5,60662.8,7783.5,2.5,209182.2,38.6,180858.9,36.2,209182.2
South Gondar ZHD,Ebinat,Ham 2013 to Sen 2014,542,4105.6,90216.6,28662.8,52.1,6.8,42812.1,4063.2,1781.9,125171,47824.5,110642.3,296.3,124,17976.9,27257.6,4255.8,2603,,19526.7,7131.8,296.3,48647,,,,7131.8,6590.1,10687.2,28662.8,7738.9,23279,7131.8,103502.4,108124.6,49215.6,0,42762.1,61371.8,6453.5,2,211627,31,0,29,211627
South Gondar ZHD,Ebinat,Ham 2014 to Sen 2015,548.4,4111.3,91292.9,29002,58.5,6.4,43318.6,4111.3,,129064.9,43288.3,115861.5,278.4,,18189.6,27580,129064.9,2633.8,14560.9,129064.9,7216.2,721.6,48647,,,,7216.2,6667.8,10813.6,29335.9,7920.7,23554.4,7216.2,107418.6,106712.1,49797.8,0,43268,574.4,6529.9,2,214130.7,31,0,29,1980.8
